Image: 1672x941
Ink pixels: 32727
Components: 154

rank,count,x0,y0,x1,y1,width,height
1,5401,953,353,1507,630,555,278
2,4269,1163,520,1671,654,509,135
3,1298,1200,704,1562,940,363,237
4,1205,1268,692,1671,927,404,236
5,1126,968,323,1201,413,234,91
6,1056,1232,254,1431,370,200,117
7,1047,1292,684,1671,873,380,190
8,919,1323,385,1671,517,349,133
9,905,1376,726,1671,899,296,174
10,784,1400,210,1671,350,272,141
11,748,1378,0,1584,220,207,221
12,709,1227,775,1422,940,196,166
13,693,1384,173,1542,254,159,82
14,676,1369,435,1671,581,303,147
15,661,1142,802,1363,940,222,139
16,645,1442,704,1671,777,230,74
17,637,1436,363,1671,453,236,91
18,572,1353,330,1671,471,319,142
19,566,1422,344,1671,449,250,106
20,533,1483,149,1671,274,189,126
21,487,1020,234,1145,290,126,57
22,466,1486,697,1671,729,186,33
23,463,1548,30,1671,155,124,126
24,432,1441,696,1671,752,231,57
25,411,811,606,925,667,115,62
26,410,1532,62,1671,189,140,128
27,300,1254,189,1340,219,87,31
28,290,927,515,1010,542,84,28
29,289,1388,285,1579,370,192,86
30,285,1435,202,1637,315,203,114
31,265,1329,814,1471,940,143,127
32,263,1508,852,1614,940,107,89
33,253,1384,754,1522,840,139,87
34,235,1513,0,1636,135,124,136
35,224,1481,481,1624,543,144,63
36,187,1549,572,1671,607,123,36
37,176,1563,760,1671,803,109,44
38,173,1540,624,1671,648,132,25
39,168,1542,269,1671,322,130,54
40,165,1183,263,1235,284,53,22
41,165,1553,303,1671,357,119,55
42,160,1471,0,1545,97,75,98
43,139,1575,672,1671,678,97,7
44,137,1018,457,1065,473,48,17
45,134,1106,738,1155,755,50,18
46,133,1035,692,1086,707,52,16
47,132,1148,442,1193,459,46,18
48,127,1559,560,1652,591,94,32
49,116,1558,610,1653,632,96,23
50,114,1169,175,1207,190,39,16
51,103,1147,595,1188,608,42,14
52,99,1355,529,1391,542,37,14
53,92,1466,741,1538,771,73,31
54,85,1605,802,1671,837,67,36
55,75,1264,282,1295,295,32,14
56,62,1303,138,1331,149,29,12
57,62,1368,422,1419,448,52,27
58,33,1522,358,1551,372,30,15
59,29,1578,789,1603,801,26,13
60,25,1496,374,1518,384,23,11
61,22,1368,180,1389,201,22,22
62,18,1520,649,1537,649,18,1
63,15,1559,677,1573,677,15,1
64,14,1532,635,1544,636,13,2
65,12,1550,755,1561,759,12,5
66,11,1483,154,1493,164,11,11
67,10,1534,749,1543,752,10,4
68,10,1567,784,1576,788,10,5
69,9,1446,733,1454,736,9,4
70,8,1581,281,1588,284,8,4
71,8,1558,780,1565,783,8,4
72,6,1361,449,1366,452,6,4
73,6,1524,637,1529,637,6,1
74,6,1434,694,1439,695,6,2
75,6,1540,772,1545,774,6,3
76,6,1549,776,1554,778,6,3
77,5,1646,296,1650,298,5,3
78,5,1617,497,1621,498,5,2
79,5,1602,502,1606,503,5,2
80,5,1587,507,1591,508,5,2
81,5,1546,634,1550,634,5,1
82,4,1508,137,1511,140,4,4
83,4,1495,149,1498,152,4,4
84,4,1666,181,1669,183,4,3
85,4,1608,500,1611,501,4,2
86,4,1553,633,1556,633,4,1
87,4,1456,737,1459,738,4,2
88,4,1461,739,1464,740,4,2
89,3,1468,99,1470,101,3,3
90,3,1613,499,1615,499,3,1
91,2,1663,184,1664,185,2,2
92,2,1660,186,1661,187,2,2
93,2,1657,188,1658,189,2,2
94,2,1654,190,1655,191,2,2
95,2,1641,300,1642,300,2,1
96,2,1539,323,1540,323,2,1
97,2,1637,492,1638,492,2,1
98,2,1633,493,1634,493,2,1
99,2,1630,494,1631,494,2,1
100,2,1626,495,1627,495,2,1
101,2,1623,496,1624,496,2,1
102,2,1599,504,1600,504,2,1
103,2,1596,505,1597,505,2,1
104,2,1593,506,1594,506,2,1
105,2,1582,510,1583,510,2,1
106,2,1579,511,1580,511,2,1
107,2,1574,513,1575,513,2,1
108,2,1556,592,1557,592,2,1
109,2,1144,606,1145,606,2,1
110,2,1587,666,1588,666,2,1
111,2,1443,732,1444,732,2,1
112,2,1526,746,1527,746,2,1
113,2,1529,747,1530,747,2,1
114,1,1652,192,1652,192,1,1
115,1,1643,198,1643,198,1,1
116,1,1361,207,1361,207,1,1
117,1,1594,278,1594,278,1,1
118,1,1592,279,1592,279,1,1
119,1,1590,280,1590,280,1,1
120,1,1644,299,1644,299,1,1
121,1,1639,301,1639,301,1,1
122,1,1598,318,1598,318,1,1
123,1,1593,320,1593,320,1,1
124,1,1591,321,1591,321,1,1
125,1,1398,351,1398,351,1,1
126,1,1396,352,1396,352,1,1
127,1,1386,371,1386,371,1,1
128,1,1520,373,1520,373,1,1
129,1,1494,385,1494,385,1,1
130,1,1492,386,1492,386,1,1
131,1,1490,387,1490,387,1,1
132,1,1420,450,1420,450,1,1
133,1,1250,490,1250,490,1,1
134,1,1585,509,1585,509,1,1
135,1,1577,512,1577,512,1,1
136,1,1572,514,1572,514,1,1
137,1,1321,518,1321,518,1,1
138,1,1319,519,1319,519,1,1
139,1,1317,520,1317,520,1,1
140,1,1315,521,1315,521,1,1
141,1,1546,608,1546,608,1,1
142,1,1655,609,1655,609,1,1
143,1,1590,666,1590,666,1,1
144,1,1198,703,1198,703,1,1
145,1,1440,703,1440,703,1,1
146,1,1374,725,1374,725,1,1
147,1,1524,745,1524,745,1,1
148,1,1532,748,1532,748,1,1
149,1,1380,752,1380,752,1,1
150,1,1382,753,1382,753,1,1
151,1,1545,753,1545,753,1,1
152,1,1547,775,1547,775,1,1
153,1,1556,779,1556,779,1,1
154,1,1506,851,1506,851,1,1
