x1,y1,x2,y2,length_px,angle_deg
1246,359,1334,327,93.6,-20.0
1490,501,1573,464,90.9,-24.0
1327,698,1400,728,78.9,22.3
1328,697,1400,726,77.6,21.9
1090,411,1136,355,72.5,-50.6
1032,279,1097,259,68.0,-17.1
1459,520,1519,489,67.5,-27.3
857,648,911,610,66.0,-35.1
1522,488,1581,461,64.9,-24.6
1303,341,1347,308,55.0,-36.9
1359,294,1403,263,53.8,-35.2
1382,569,1424,539,51.6,-35.5
1470,210,1512,181,51.0,-34.6
1078,408,1114,372,50.9,-45.0
1078,272,1118,241,50.6,-37.8
1082,408,1117,373,49.5,-45.0
1107,387,1140,352,48.1,-46.7
1438,233,1477,207,46.9,-33.7
1438,530,1478,507,46.1,-29.9
867,647,898,616,43.8,-45.0
1419,545,1456,522,43.6,-31.9
1056,396,1094,413,41.6,24.1
1347,298,1380,274,40.8,-36.0
1274,344,1312,331,40.2,-18.9
863,648,891,620,39.6,-45.0
1057,272,1095,261,39.6,-16.1
1303,339,1335,316,39.4,-35.7
1119,375,1146,348,38.2,-45.0
1254,218,1289,207,36.7,-17.4
1384,571,1413,549,36.4,-37.2
812,667,842,647,36.1,-33.7
1254,788,1290,786,36.1,-3.2
1432,234,1465,222,35.1,-20.0
1507,183,1540,173,34.5,-16.9
1440,165,1467,144,34.2,-37.9
1272,792,1302,776,34.0,-28.1
1114,246,1144,233,32.7,-23.4
1463,213,1488,192,32.6,-40.0
1552,475,1582,463,32.3,-21.8
1065,397,1094,410,31.8,24.1
1232,369,1258,352,31.1,-33.2
1099,251,1126,238,30.0,-25.7
986,397,1015,390,29.8,-13.6
932,541,960,531,29.7,-19.7
980,397,1008,388,29.4,-17.8
1407,240,1434,229,29.2,-22.2
1399,246,1425,235,28.2,-22.9
1059,390,1085,398,27.2,17.1
1029,390,1055,395,26.5,10.9
1407,167,1432,159,26.2,-17.7
