x1,y1,x2,y2,length_px,angle_deg
1450,705,1669,772,229.0,17.0
1406,443,1615,350,228.8,-24.0
1492,698,1608,718,117.7,9.8
1492,785,1645,877,178.5,31.0
1545,409,1671,365,133.5,-19.2
1492,799,1645,906,186.7,35.0
1509,725,1668,776,167.0,17.8
1556,804,1671,873,134.1,31.0
1405,349,1586,261,201.3,-25.9
1419,439,1585,365,181.7,-24.0
1518,403,1642,353,133.7,-22.0
1448,697,1571,726,126.4,13.3
1552,391,1668,346,124.4,-21.2
1518,433,1650,390,138.8,-18.0
1402,349,1555,274,170.4,-26.1
1437,451,1566,399,139.1,-22.0
1451,308,1606,222,177.3,-29.0
1280,736,1399,810,140.1,31.9
1461,516,1598,455,150.0,-24.0
1385,489,1504,441,128.3,-22.0
1445,167,1585,0,217.9,-50.0
1437,453,1552,407,123.9,-21.8
1449,705,1671,773,232.2,17.0
