count,x0,y0,x1,y1,width,height,height_width_ratio
917,1233,255,1429,369,197,115,0.584
825,971,343,1157,413,187,71,0.38
583,1387,174,1540,252,154,79,0.513
393,1020,234,1144,289,125,56,0.448
346,1382,462,1582,571,201,110,0.547
317,811,607,923,667,113,61,0.54
226,929,515,1008,541,80,27,0.338
222,1398,142,1477,170,80,29,0.362
217,1255,193,1329,218,75,26,0.347
155,1240,776,1307,794,68,19,0.279
113,1185,265,1230,283,46,19,0.413
94,1150,443,1190,458,41,16,0.39
92,1328,698,1402,728,75,31,0.413
86,1023,458,1060,471,38,14,0.368
84,1170,176,1203,189,34,14,0.412
47,1268,283,1292,293,25,11,0.44
36,1177,324,1199,333,23,10,0.435
27,1135,739,1151,749,17,11,0.647
25,1066,693,1080,701,15,9,0.6
